TYPE;NAME
descriptionIndex;description
partnerProductIdIndex;product-id
partnerManufacturerNameIndex;manufacturer
nameIndex;productName
descriptionIndex;productDescription
partnerManufacturerNameIndex;herstelller
nameIndex;Product Name
descriptionIndex;Description
mpnIndex;Part Number
descriptionIndex;Product Description
partnerProductIdIndex;productid
descriptionIndex;Beschreibung
partnerManufacturerNameIndex;manufacturers_name
mpnIndex;manufacturers_No
productLinkIndex;product_url
partnerProductIdIndex;product_id
nameIndex;product_name
descriptionIndex;beschreibung
productLinkIndex;productUrl
partnerProductIdIndex;Product-ID
partnerManufacturerNameIndex;Manufacturers Name
nameIndex;products_name
descriptionIndex;products_description
nameIndex;ProductName
partnerManufacturerNameIndex;Manufacturer
partnerProductIdIndex;id
partnerProductIdIndex;productid
partnerProductIdIndex;produkt-id
partnerProductIdIndex;products-id
nameIndex;name
nameIndex;product-name
nameIndex;products-name
nameIndex;productname
nameIndex;productsname
nameIndex;produkt-name
nameIndex;Produktname
productLinkIndex;url
productLinkIndex;link
productLinkIndex;productsurl
productLinkIndex;products_url
imageUrlIndex;bild-url
imageUrlIndex;image-url
imageUrlIndex;image
imageUrlIndex;bild
imageUrlIndex;products-image
descriptionIndex;description
descriptionIndex;beschreibung
descriptionIndex;product-description
descriptionIndex;products-description
descriptionIndex;Produktbeschreibung
partnerManufacturerNameIndex;hersteller
partnerManufacturerNameIndex;brand
partnerManufacturerNameIndex;manufacturer
partnerManufacturerNameIndex;manufacturers_name
partnerManufacturerNameIndex;manufacturer_name
partnerManufacturerNameIndex;brand_name
partnerManufacturerNameIndex;manufacturer-name
partnerManufacturerNameIndex;brand-name
partnerManufacturerNameIndex;manufacturers-name
eanIndex;ean
mpnIndex;mpn
mpnIndex;products_model
mpnIndex;manufacturer number
mpnIndex;manufacturer part number
